Date,Close,,Date,Close,,Date,Close
23/01/2025 23:58:00,101964.6,,23/01/2025 23:58:00,3241.2395,,23/01/2025 23:58:00,257.173
24/01/2025 23:58:00,104563,,24/01/2025 23:58:00,3338.5746,,24/01/2025 23:58:00,253.4619
25/01/2025 23:58:00,104669.3,,25/01/2025 23:58:00,3309.7553,,25/01/2025 23:58:00,253.371
26/01/2025 23:58:00,105193.9,,26/01/2025 23:58:00,3317.2631,,26/01/2025 23:58:00,256.1342
27/01/2025 23:58:00,100414.1,,27/01/2025 23:58:00,3233.391,,27/01/2025 23:58:00,240.9197
28/01/2025 23:58:00,102938,,28/01/2025 23:58:00,3181.6844,,28/01/2025 23:58:00,235.0458
29/01/2025 23:58:00,101995.6,,29/01/2025 23:58:00,3075.7713,,29/01/2025 23:58:00,227.1483
30/01/2025 23:58:00,105403.1,,30/01/2025 23:58:00,3114.3033,,30/01/2025 23:58:00,228.0644
31/01/2025 23:58:00,104008.8,,31/01/2025 23:58:00,3247.7702,,31/01/2025 23:58:00,238.9076
01/02/2025 23:58:00,102345.6,,01/02/2025 23:58:00,3298.9187,,01/02/2025 23:58:00,231.644
02/02/2025 23:58:00,99655.54,,02/02/2025 23:58:00,3116.8988,,02/02/2025 23:58:00,213.6257
03/02/2025 23:58:00,92883.21,,03/02/2025 23:58:00,2869.2932,,03/02/2025 23:58:00,203.2397
04/02/2025 23:58:00,100156.4,,04/02/2025 23:58:00,2883.2151,,04/02/2025 23:58:00,216.2608
05/02/2025 23:58:00,98136.17,,05/02/2025 23:58:00,2732.0012,,05/02/2025 23:58:00,207.0365
06/02/2025 23:58:00,97649.43,,06/02/2025 23:58:00,2788.2941,,06/02/2025 23:58:00,195.9941
07/02/2025 23:58:00,97519.86,,07/02/2025 23:58:00,2688.0574,,07/02/2025 23:58:00,189.7586
08/02/2025 23:58:00,96362.31,,08/02/2025 23:58:00,2623.0346,,08/02/2025 23:58:00,192.1702
09/02/2025 23:58:00,97281.8,,09/02/2025 23:58:00,2632.9375,,09/02/2025 23:58:00,199.5817
10/02/2025 23:58:00,96932.82,,10/02/2025 23:58:00,2628.011,,10/02/2025 23:58:00,200.5462
11/02/2025 23:58:00,98077.13,,11/02/2025 23:58:00,2661.4868,,11/02/2025 23:58:00,200.3929
12/02/2025 23:58:00,95573.3,,12/02/2025 23:58:00,2602.6286,,12/02/2025 23:58:00,197.9837
13/02/2025 23:58:00,96900.99,,13/02/2025 23:58:00,2737.7892,,13/02/2025 23:58:00,196.772
14/02/2025 23:58:00,96796.01,,14/02/2025 23:58:00,2676.2042,,14/02/2025 23:58:00,194.3761
15/02/2025 23:58:00,97544.53,,15/02/2025 23:58:00,2725.7036,,15/02/2025 23:58:00,199.8365
16/02/2025 23:58:00,97580.92,,16/02/2025 23:58:00,2693.5246,,16/02/2025 23:58:00,194.4742
17/02/2025 23:58:00,96127.14,,17/02/2025 23:58:00,2662.2272,,17/02/2025 23:58:00,188.4563
18/02/2025 23:58:00,96096.47,,18/02/2025 23:58:00,2743.7816,,18/02/2025 23:58:00,177.6608
19/02/2025 23:58:00,95307.54,,19/02/2025 23:58:00,2669.9008,,19/02/2025 23:58:00,169.1202
20/02/2025 23:58:00,97243.08,,20/02/2025 23:58:00,2715.3959,,20/02/2025 23:58:00,169.026
21/02/2025 23:58:00,98249.46,,21/02/2025 23:58:00,2739.468,,21/02/2025 23:58:00,176.038
22/02/2025 23:58:00,96436.56,,22/02/2025 23:58:00,2660.6903,,22/02/2025 23:58:00,168.892
23/02/2025 23:58:00,96443.38,,23/02/2025 23:58:00,2763.9902,,23/02/2025 23:58:00,172.1428
24/02/2025 23:58:00,95278.63,,24/02/2025 23:58:00,2819.8368,,24/02/2025 23:58:00,168.0328
25/02/2025 23:58:00,92066.2,,25/02/2025 23:58:00,2513.9897,,25/02/2025 23:58:00,141.8274
26/02/2025 23:58:00,88801.82,,26/02/2025 23:58:00,2492.342,,26/02/2025 23:58:00,144.1328
